"timestamp","ip","mac","iface","note","is_spoof"2025-10-24T04:42:10.104507,172.19.65.1,16:d8:e4:80:e8:43,en0,,0
2025-10-24T04:42:55.057759,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:55.160280,172.19.68.77,0e:14:3e:3d:09:f8,en0,,0
2025-10-24T04:42:55.160967,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:55.364445,0.0.0.0,f0:77:c3:fc:f6:e3,en0,,0
2025-10-24T04:42:55.365413,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:55.774289,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:55.876211,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:56.081358,172.19.72.150,36:56:09:9c:39:2b,en0,,0
2025-10-24T04:42:56.183341,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:56.185396,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:56.388488,172.19.70.56,f0:77:c3:fc:f6:e3,en0,,0
2025-10-24T04:42:56.388717,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:56.798373,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:56.900389,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:57.312117,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:57.413678,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:57.514769,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:57.719287,172.19.72.253,de:77:8f:05:32:9a,en0,,0
2025-10-24T04:42:57.821735,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:58.026640,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:58.128738,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:58.231775,172.19.72.140,22:49:5a:3b:8c:23,en0,,0
2025-10-24T04:42:58.234559,172.19.67.225,9e:00:b4:c7:b1:08,en0,,0
2025-10-24T04:42:58.338158,0.0.0.0,f0:77:c3:fc:f6:e3,en0,,0
